user,date,tweets
1463915512715374592,2021-11-25 17:00:31+00:00,#HappyThanksgiving from the Harkonnen family to yours. #DuneMovie https://t.co/hsXYBVrwdY
1464308127403180032,2021-11-26 19:00:37+00:00,"Where the fear has gone, only artist Michael Oliveros will remain. #FanArtFriday #DuneMovie https://t.co/hoJSvE8uyi"
1463553373546991625,2021-11-24 17:01:30+00:00,"Congratulations @hanszimmer for receiving a Grammy Nomination for the music he wrote for #DuneMovie. 

Experience D… https://t.co/hqj7m32Sq7"
1465468489875873793,2021-11-29 23:51:29+00:00,"Wanna support an independent film mag for #CyberMonday? 

Get $5 off a one-year subscription to Backstory Magazine… https://t.co/AFPAnhvKao"
1465467085400719362,2021-11-29 23:45:54+00:00,"City of Seeds and Thorns is free right now on #Kindle! Happy Holidays! 
#Fantasy #Romance with a touch of… https://t.co/udHy0mmwpU"
1465466595505885188,2021-11-29 23:43:58+00:00,"Where is ""Tick...Tick...DUNE!"" the Jonathan Larson/Frank Herbert mashup we deserve? #TickTickBoomMovie #DuneMovie"
1465461073453010945,2021-11-29 23:22:01+00:00,@IMDb You think?! #DuneMovie https://t.co/gUJT3bieuG
1465459458709114880,2021-11-29 23:15:36+00:00,Very impressed at the #DuneMovie! Cinematography was awesome &amp; I already can’t wait for part2! 💪🏾💪🏾 I wish some ele… https://t.co/8gNzN2trdo
1465456837369769987,2021-11-29 23:05:11+00:00,Also featuring; extended musings on Denis Villeneuve's #DuneMovie and Julia Ducournau's Palme D'Or winning batshit… https://t.co/5FW7X1vv06
1465455726772555776,2021-11-29 23:00:46+00:00,"Just finished reading the first novel.
#Dune #DuneMovie https://t.co/x63Aj7OmeG"
1465452952706068501,2021-11-29 22:49:45+00:00,"Finally got round to watching #Dune earlier, what an incredible Film 🤩🤩 can't wait for part 2 😁
#DuneMovie https://t.co/HfgjrGnttx"
1465452136087445506,2021-11-29 22:46:30+00:00,#DuneMovie is really #Dune it for me https://t.co/XzNO081TJi https://t.co/ys7xOSuX92
1465451319355924482,2021-11-29 22:43:15+00:00,the masculine urge to see the front side of the harkonnen spider monster #DuneMovie https://t.co/sHVWBqRoCI
1465446908869152775,2021-11-29 22:25:44+00:00,Dune´s logo over landscape. #redbubble #dune #dunemovie #redbubbleartists  https://t.co/hUIAYYDYBL
1465425066280173568,2021-11-29 20:58:56+00:00,"Dune grossed $2.08M over the 3-day weekend (from 1,266 locations).  5-Day holiday gross is $2.91M.  Total gross sta… https://t.co/fZ8uLhD8PP"
1465412320071352322,2021-11-29 20:08:17+00:00,"A huge milestone for #DuneMovie  

I guess the spice must flow https://t.co/IcuODnN8Vm"
1465410703037464576,2021-11-29 20:01:52+00:00,"A Bad Lip Reading of 'Dune: Part One'
https://t.co/pFDACDeB2Z

#dunemovie #entertainment #denisvilleneuve #offbeatnews #culture"
1465410237817503745,2021-11-29 20:00:01+00:00,"Turn your minds towards a new horizon. #DuneMovie comes TOMORROW. 
Get tickets now: https://t.co/XwgqVeLq1E https://t.co/GH2GimTLoE"
1465410236580249609,2021-11-29 20:00:01+00:00,#DuneMovie comes in TWO DAYS. Get your tickets now: https://t.co/XwgqVetPa6 https://t.co/C1jSJIVWgp
1465408598079590421,2021-11-29 19:53:30+00:00,"Rebecca Ferguson was fantastic as #LadyJessica, but I've wondered how Jessica Chastain might have portrayed her nam… https://t.co/GpYWTHML0Q"
